City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,asau,46.4333,26.4,51.96,68,99,1.41,RO,1651467799
1,lebu,-37.6167,-73.65,50.49,93,3,12.91,CL,1651467799
2,bredasdorp,-34.5322,20.0403,54.57,93,98,5.03,ZA,1651467800
3,mar del plata,-38.0023,-57.5575,51.87,71,100,10.0,AR,1651467800
4,hilo,19.7297,-155.09,74.28,100,100,8.99,US,1651467613
5,qaanaaq,77.484,-69.3632,5.13,62,47,8.08,GL,1651467463
6,bluff,-46.6,168.3333,60.8,73,84,8.59,NZ,1651467801
7,rikitea,-23.1203,-134.9692,76.62,73,99,6.33,PF,1651467802
8,mao,39.8885,4.2658,54.16,94,20,1.14,ES,1651467721
9,kapaa,22.0752,-159.319,80.58,83,96,3.0,US,1651467802
10,kumsi,14.0667,75.4,87.12,40,87,7.34,IN,1651467803
11,ahipara,-35.1667,173.1667,64.87,71,100,4.09,NZ,1651467803
12,kalmunai,7.4167,81.8167,88.2,63,51,1.72,LK,1651467804
13,cockburn town,21.4612,-71.1419,77.38,80,95,20.22,TC,1651467804
14,acapulco,16.8634,-99.8901,78.35,63,76,4.21,MX,1651467611
15,albany,42.6001,-73.9662,55.81,51,100,4.59,US,1651467773
16,hermanus,-34.4187,19.2345,59.81,77,96,9.8,ZA,1651467805
17,hobart,-42.8794,147.3294,69.66,52,75,19.57,AU,1651467806
18,busselton,-33.65,115.3333,67.3,78,88,12.46,AU,1651467733
19,kloulklubed,7.0419,134.2556,82.29,80,99,10.96,PW,1651467807
20,new norfolk,-42.7826,147.0587,69.3,56,100,5.99,AU,1651467807
21,soyo,-6.1349,12.3689,77.29,88,100,5.19,AO,1651467808
22,sao felix do xingu,-6.6447,-51.995,72.43,87,56,1.9,BR,1651467809
23,dikson,73.5069,80.5464,18.5,89,100,14.34,RU,1651467809
24,airai,-8.9266,125.4092,76.91,43,85,5.55,TL,1651467524
25,sar-e pul,35.8333,66.1667,67.86,49,100,6.53,AF,1651467810
26,punta arenas,-53.15,-70.9167,40.89,86,57,9.42,CL,1651467810
27,vaini,-21.2,-175.2,79.14,81,92,17.47,TO,1651467811
28,hasaki,35.7333,140.8333,63.0,51,97,6.04,JP,1651467811
